ProductName	Price	Quantity	CustomerName
Queso Cabrales 	21 	12 	Wilman Kala 
Singaporean Hokkien Fried Mee 	14 	10 	Wilman Kala 
Mozzarella di Giovanni 	34.8 	5 	Wilman Kala 
Tofu 	23.25 	9 	Tradição Hipermercados 
Manjimup Dried Apples 	53 	40 	Tradição Hipermercados 
Jack's New England Clam Chowder 	9.65 	10 	Hanari Carnes 
Manjimup Dried Apples 	53 	35 	Hanari Carnes 
Louisiana Fiery Hot Pepper Sauce 	21.05 	15 	Hanari Carnes 
Gustaf's Knäckebröd 	21 	6 	Victuailles en stock 
Ravioli Angelo 	19.5 	15 	Victuailles en stock 
Louisiana Fiery Hot Pepper Sauce 	21.05 	20 	Victuailles en stock 
Sir Rodney's Marmalade 	81 	40 	Suprêmes délices 
Geitost 	2.5 	25 	Suprêmes délices 
Camembert Pierrot 	34 	40 	Suprêmes délices 
Gorgonzola Telino 	12.5 	20 	Hanari Carnes 
Chartreuse verte 	18 	42 	Hanari Carnes 
Maxilaku 	20 	40 	Hanari Carnes 
Guaraná Fantástica 	4.5 	15 	Chop-suey Chinese 
Pâté chinois 	24 	21 	Chop-suey Chinese 
Longlife Tofu 	10 	21 	Chop-suey Chinese 
Chang 	19 	20 	Richter Supermarkt 
Pavlova 	17.45 	35 	Richter Supermarkt 
Inlagd Sill 	19 	25 	Richter Supermarkt 
Raclette Courdavault 	55 	30 	Richter Supermarkt 
Perth Pasties 	32.8 	15 	Wellington Importadora 
Original Frankfurter grüne Soße 	13 	12 	Wellington Importadora 
Schoggi Schokolade 	43.9 	25 	HILARIÓN-Abastos 
Chartreuse verte 	18 	6 	HILARIÓN-Abastos 
Original Frankfurter grüne Soße 	13 	15 	HILARIÓN-Abastos 
Chang 	19 	50 	Ernst Handel 
Chef Anton's Gumbo Mix 	21.35 	65 	Ernst Handel 
Mascarpone Fabioli 	32 	6 	Ernst Handel 
Sir Rodney's Scones 	10 	10 	Centro comercial Moctezuma 
Gravad lax 	26 	1 	Centro comercial Moctezuma 
Jack's New England Clam Chowder 	9.65 	16 	Old World Delicatessen 
Ravioli Angelo 	19.5 	50 	Old World Delicatessen 
Tarte au sucre 	49.3 	15 	Old World Delicatessen 
Outback Lager 	15 	21 	Old World Delicatessen 
Sir Rodney's Scones 	10 	20 	Que Delícia 
Steeleye Stout 	18 	20 	Que Delícia 
Chef Anton's Gumbo Mix 	21.35 	12 	Rattlesnake Canyon Grocery 
Uncle Bob's Organic Dried Pears 	30 	15 	Rattlesnake Canyon Grocery 
Gnocchi di nonna Alice 	38 	2 	Rattlesnake Canyon Grocery 
Pavlova 	17.45 	60 	Ernst Handel 
Guaraná Fantástica 	4.5 	28 	Ernst Handel 
Nord-Ost Matjeshering 	25.89 	60 	Ernst Handel 
Longlife Tofu 	10 	36 	Ernst Handel 
Chang 	19 	35 	Folk och fä HB 
Jack's New England Clam Chowder 	9.65 	25 	Folk och fä HB 
Alice Mutton 	39 	30 	Blondel père et fils 
Outback Lager 	15 	20 	Blondel père et fils 
Queso Manchego La Pastora 	38 	12 	Wartian Herkku 
Boston Crab Meat 	18.4 	50 	Frankenversand 
Raclette Courdavault 	55 	70 	Frankenversand 
Lakkalikööri 	18 	15 	Frankenversand 
Thüringer Rostbratwurst 	123.79 	10 	GROSELLA-Restaurante 
Mozzarella di Giovanni 	34.8 	4 	GROSELLA-Restaurante 
Geitost 	2.5 	60 	White Clover Markets 
Mozzarella di Giovanni 	34.8 	20 	White Clover Markets 
Inlagd Sill 	19 	30 	Wartian Herkku 
Ipoh Coffee 	46 	25 	Wartian Herkku 
Geitost 	2.5 	24 	Split Rail Beer & Ale 
Sir Rodney's Marmalade 	81 	6 	Rattlesnake Canyon Grocery 
Gorgonzola Telino 	12.5 	40 	Rattlesnake Canyon Grocery 
Mozzarella di Giovanni 	34.8 	24 	Rattlesnake Canyon Grocery 
Ikura 	31 	24 	QUICK-Stop 
Gorgonzola Telino 	12.5 	15 	QUICK-Stop 
Geitost 	2.5 	20 	QUICK-Stop 
Boston Crab Meat 	18.4 	60 	QUICK-Stop 
Lakkalikööri 	18 	33 	QUICK-Stop 
Fløtemysost 	21.5 	20 	Vins et alcools Chevalier 
Mozzarella di Giovanni 	34.8 	7 	Vins et alcools Chevalier 
Guaraná Fantástica 	4.5 	12 	Magazzini Alimentari Riuniti 
Raclette Courdavault 	55 	6 	Magazzini Alimentari Riuniti 
Ikura 	31 	15 	Tortuga Restaurante 
Konbu 	6 	10 	Tortuga Restaurante 
Rössle Sauerkraut 	45.6 	20 	Morgenstern Gesundkost 
Tarte au sucre 	49.3 	12 	Morgenstern Gesundkost 
Gula Malacca 	19.45 	16 	Berglunds snabbköp 
Raclette Courdavault 	55 	15 	Berglunds snabbköp 
Vegie-spread 	43.9 	8 	Berglunds snabbköp 
Röd Kaviar 	15 	25 	Berglunds snabbköp 
Alice Mutton 	39 	15 	Lehmanns Marktstand 
Guaraná Fantástica 	4.5 	12 	Berglunds snabbköp 
Pâté chinois 	24 	20 	Berglunds snabbköp 
Rhönbräu Klosterbier 	7.75 	30 	Berglunds snabbköp 
Teatime Chocolate Biscuits 	9.2 	1 	Romero y tomillo 
Guaraná Fantástica 	4.5 	6 	Romero y tomillo 
Steeleye Stout 	18 	4 	Romero y tomillo 
Nord-Ost Matjeshering 	25.89 	6 	Romero y tomillo 
Ravioli Angelo 	19.5 	2 	Romero y tomillo 
Genen Shouyu 	15.5 	20 	LILA-Supermercado 
Teatime Chocolate Biscuits 	9.2 	18 	LILA-Supermercado 
Camembert Pierrot 	34 	35 	LILA-Supermercado 
Mozzarella di Giovanni 	34.8 	3 	LILA-Supermercado 
Schoggi Schokolade 	43.9 	15 	Lehmanns Marktstand 
Gula Malacca 	19.45 	21 	Lehmanns Marktstand 
Camembert Pierrot 	34 	20 	Lehmanns Marktstand 
Laughing Lumberjack Lager 	14 	5 	Lehmanns Marktstand 
Chais 	18 	45 	QUICK-Stop 
Boston Crab Meat 	18.4 	40 	QUICK-Stop 
Perth Pasties 	32.8 	36 	QUICK-Stop 
Steeleye Stout 	18 	100 	QUICK-Stop 
Tarte au sucre 	49.3 	40 	QUICK-Stop 
Pavlova 	17.45 	40 	Ricardo Adocicados 
Sasquatch Ale 	14 	20 	Ricardo Adocicados 
Spegesild 	12 	15 	Ricardo Adocicados 
Tourtière 	7.45 	10 	Reggiani Caseifici 
Scottish Longbreads 	12.5 	3 	Reggiani Caseifici 
Aniseed Syrup 	10 	30 	B's Beverages 
Wimmers gute Semmelknödel 	33.25 	9 	B's Beverages 
Chef Anton's Gumbo Mix 	21.35 	20 	Comércio Mineiro 
Thüringer Rostbratwurst 	123.79 	15 	Comércio Mineiro 
Maxilaku 	20 	15 	Comércio Mineiro 
Original Frankfurter grüne Soße 	13 	10 	Comércio Mineiro 
Konbu 	6 	20 	Que Delícia 
Gula Malacca 	19.45 	24 	Que Delícia 
Manjimup Dried Apples 	53 	2 	Que Delícia 
Sir Rodney's Marmalade 	81 	20 	Tradição Hipermercados 
Carnarvon Tigers 	62.5 	12 	Tortuga Restaurante 
Guaraná Fantástica 	4.5 	10 	Tortuga Restaurante 
Vegie-spread 	43.9 	5 	Tortuga Restaurante 
Rhönbräu Klosterbier 	7.75 	6 	Tortuga Restaurante 
Chais 	18 	18 	Rattlesnake Canyon Grocery 
Alice Mutton 	39 	15 	Rattlesnake Canyon Grocery 
Ipoh Coffee 	46 	15 	Rattlesnake Canyon Grocery 
Camembert Pierrot 	34 	21 	Rattlesnake Canyon Grocery 
Rhönbräu Klosterbier 	7.75 	6 	Rattlesnake Canyon Grocery 
Gnocchi di nonna Alice 	38 	4 	Vins et alcools Chevalier 
Queso Cabrales 	21 	12 	LILA-Supermercado 
Pavlova 	17.45 	30 	LILA-Supermercado 
Gudbrandsdalsost 	36 	15 	LILA-Supermercado 
Chartreuse verte 	18 	60 	Blondel père et fils 
Mozzarella di Giovanni 	34.8 	20 	Blondel père et fils 
Chang 	19 	40 	Hungry Owl All-Night Grocers 
Inlagd Sill 	19 	40 	Hungry Owl All-Night Grocers 
Raclette Courdavault 	55 	30 	Hungry Owl All-Night Grocers 
Tarte au sucre 	49.3 	15 	Hungry Owl All-Night Grocers 
Teatime Chocolate Biscuits 	9.2 	15 	Ricardo Adocicados 
Outback Lager 	15 	20 	Ricardo Adocicados 
Louisiana Hot Spiced Okra 	17 	30 	Magazzini Alimentari Riuniti 
Scottish Longbreads 	12.5 	20 	Magazzini Alimentari Riuniti 
Boston Crab Meat 	18.4 	10 	Die Wandernde Kuh 
Gnocchi di nonna Alice 	38 	20 	Die Wandernde Kuh 
Alice Mutton 	39 	40 	Suprêmes délices 
Rössle Sauerkraut 	45.6 	28 	Suprêmes délices 
Ipoh Coffee 	46 	12 	Suprêmes délices 
Boston Crab Meat 	18.4 	40 	Godos Cocina Típica 
Louisiana Fiery Hot Pepper Sauce 	21.05 	30 	Godos Cocina Típica 
Scottish Longbreads 	12.5 	15 	Godos Cocina Típica 
Maxilaku 	20 	30 	Tortuga Restaurante 
Raclette Courdavault 	55 	10 	Tortuga Restaurante 
Fløtemysost 	21.5 	2 	Tortuga Restaurante 
Carnarvon Tigers 	62.5 	25 	Old World Delicatessen 
Thüringer Rostbratwurst 	123.79 	25 	Old World Delicatessen 
Chartreuse verte 	18 	30 	Old World Delicatessen 
Nord-Ost Matjeshering 	25.89 	10 	Romero y tomillo 
Perth Pasties 	32.8 	10 	Romero y tomillo 
Tourtière 	7.45 	5 	Romero y tomillo 
Tarte au sucre 	49.3 	10 	Lonesome Pine Restaurant 
Scottish Longbreads 	12.5 	3 	Lonesome Pine Restaurant 
Gudbrandsdalsost 	36 	1 	Ana Trujillo Emparedados y helados 
Outback Lager 	15 	5 	Ana Trujillo Emparedados y helados 
Chef Anton's Cajun Seasoning 	22 	20 	Hungry Owl All-Night Grocers 
Grandma's Boysenberry Spread 	25 	30 	Hungry Owl All-Night Grocers 
Singaporean Hokkien Fried Mee 	14 	2 	Hungry Owl All-Night Grocers 
Ipoh Coffee 	46 	20 	Hungry Owl All-Night Grocers 
Fløtemysost 	21.5 	3 	Hungry Owl All-Night Grocers 
Pavlova 	17.45 	10 	The Big Cheese 
Tarte au sucre 	49.3 	5 	The Big Cheese 
Singaporean Hokkien Fried Mee 	14 	6 	Du monde entier 
Gudbrandsdalsost 	36 	7 	Du monde entier 
Rössle Sauerkraut 	45.6 	4 	Die Wandernde Kuh 
Ipoh Coffee 	46 	24 	Die Wandernde Kuh 
Perth Pasties 	32.8 	20 	Die Wandernde Kuh 
Rhönbräu Klosterbier 	7.75 	10 	Die Wandernde Kuh 
Inlagd Sill 	19 	12 	QUICK-Stop 
Mascarpone Fabioli 	32 	40 	Rattlesnake Canyon Grocery 
Escargots de Bourgogne 	13.25 	30 	Rattlesnake Canyon Grocery 
Tarte au sucre 	49.3 	25 	Rattlesnake Canyon Grocery 
Sasquatch Ale 	14 	14 	Island Trading 
Outback Lager 	15 	30 	Island Trading 
Jack's New England Clam Chowder 	9.65 	10 	Rattlesnake Canyon Grocery 
Tarte au sucre 	49.3 	70 	Rattlesnake Canyon Grocery 
Chais 	18 	20 	Lonesome Pine Restaurant 
Jack's New England Clam Chowder 	9.65 	20 	Island Trading 
Lakkalikööri 	18 	6 	Island Trading 
Alice Mutton 	39 	8 	Tortuga Restaurante 
Rössle Sauerkraut 	45.6 	14 	Tortuga Restaurante 
Lakkalikööri 	18 	30 	Tortuga Restaurante 
Fløtemysost 	21.5 	30 	Wartian Herkku 
Steeleye Stout 	18 	10 	Island Trading 
Filo Mix 	7 	20 	Pericles Comidas clásicas 
Genen Shouyu 	15.5 	5 	Königlich Essen 
NuNuCa Nuß-Nougat-Creme 	14 	4 	Königlich Essen 
Chartreuse verte 	18 	4 	Königlich Essen 
Pavlova 	17.45 	21 	Save-a-lot Markets 
Steeleye Stout 	18 	70 	Save-a-lot Markets 
Spegesild 	12 	30 	Save-a-lot Markets 
Raclette Courdavault 	55 	40 	Save-a-lot Markets 
Vegie-spread 	43.9 	80 	Save-a-lot Markets 
Grandma's Boysenberry Spread 	25 	6 	Königlich Essen 
Konbu 	6 	12 	Königlich Essen 
Tofu 	23.25 	9 	Königlich Essen 
Gorgonzola Telino 	12.5 	4 	Königlich Essen 
Mozzarella di Giovanni 	34.8 	40 	Königlich Essen 
Chef Anton's Cajun Seasoning 	22 	24 	Bólido Comidas preparadas 
Ravioli Angelo 	19.5 	16 	Bólido Comidas preparadas 
Rhönbräu Klosterbier 	7.75 	50 	Bólido Comidas preparadas 
Chang 	19 	25 	Folk och fä HB 
Queso Cabrales 	21 	50 	Folk och fä HB 
Nord-Ost Matjeshering 	25.89 	35 	Folk och fä HB 
Escargots de Bourgogne 	13.25 	30 	Folk och fä HB 
Raclette Courdavault 	55 	9 	Furia Bacalhau e Frutos do Mar 
Louisiana Fiery Hot Pepper Sauce 	21.05 	40 	Furia Bacalhau e Frutos do Mar 
Scottish Longbreads 	12.5 	10 	Furia Bacalhau e Frutos do Mar 
Teatime Chocolate Biscuits 	9.2 	10 	Split Rail Beer & Ale 
Nord-Ost Matjeshering 	25.89 	8 	Split Rail Beer & Ale 
Côte de Blaye 	263.5 	20 	Split Rail Beer & Ale 
Gnocchi di nonna Alice 	38 	12 	Split Rail Beer & Ale 
Gumbär Gummibärchen 	31.23 	50 	LILA-Supermercado 
Mozzarella di Giovanni 	34.8 	25 	LILA-Supermercado 
Tourtière 	7.45 	15 	Bon app' 
Carnarvon Tigers 	62.5 	40 	Mère Paillarde 
Singaporean Hokkien Fried Mee 	14 	10 	Mère Paillarde 
Zaanse koeken 	9.5 	16 	Mère Paillarde 
Tofu 	23.25 	10 	Wartian Herkku 
Sir Rodney's Scones 	10 	10 	Wartian Herkku 
Fløtemysost 	21.5 	40 	Wartian Herkku 
Filo Mix 	7 	8 	Victuailles en stock 
Scottish Longbreads 	12.5 	10 	Victuailles en stock 
Chang 	19 	7 	Hungry Owl All-Night Grocers 
